"player_id","run_id","supabase_row_number","cond","shake","zoom","recoil","n_effects","imm_total","imm_atraccion","imm_foco","imm_presencia","end_reason","ingame_survival_s","total_kills","kill_rate","kills_per_min","input_total","input_rate","inputs_per_min","dmg_per_min_2m","hits_per_min_2m","damage_amount_per_min_2m","dmg_per_min","hits_per_min","enemies_mean","fps_mean","bg_frequency","bg_hours_7d","bg_experience","imm_q1","imm_q2","imm_q3","imm_q4","imm_q5","imm_q6","imm_q7","imm_q8","imm_q9","imm_q10","imm_q11","imm_q12","imm_q13","imm_q14","imm_q15","imm_q16","imm_q17","imm_q18","imm_q19","imm_q20","imm_q21","imm_q22","imm_q23","imm_q24","shake_num","zoom_num","recoil_num","duration_min","hits_total_est","damage_amount_total_est","treatment","Shake","Zoom","Recoil","person_row_index"
"765601","cf52f8cf-aaac-444a-9853-d4fbc5494dd9",148,100,1,0,0,1,2.167,1,3.25,2.25,"death",86,35,0.175,24.419,37,0.185,25.814,34.884,34.884,34.884,34.884,34.884,31.935309973,60,"Rara vez","Menos de 2 horas","Principiante",1,1,1,1,1,1,1,1,5,5,1,1,5,1,5,3,1,1,1,3,1,5,3,3,1,0,0,1.43333333333333,50,50.0004,"Shake","Presente","Ausente","Ausente",1
"C15017","1a01298c-1951-4c77-a8ee-89a3dddad435",21,101,1,0,1,2,3.208,3.625,3.125,2.875,"win",345,435,0.9375,75.652,1136,2.448276,197.565,11.5,11.5,11.5,32.348,32.87,31.5310715485,59.9291232785,"Rara vez","Menos de 2 horas","Avanzado",3,5,4,4,3,3,3,4,4,4,3,4,2,4,2,2,3,2,2,4,4,4,2,2,1,0,1,5.75,189,186.001,"Shake + Recoil","Presente","Ausente","Presente",1
"C22732","3e3efb61-24e5-429d-852c-19f4e9fc411c",46,111,1,1,1,3,3.917,3.375,4.5,3.875,"win",305,435,1.13577,85.574,886,2.313316,174.295,11.5,11.5,11.5,20.656,20.656,32.4209370425,49.1288433382,"Diario","6–10 horas","Avanzado",5,5,3,2,3,1,5,3,5,5,5,5,3,5,5,3,2,5,5,3,2,5,5,4,1,1,1,5.08333333333333,105,105.001333333333,"Shake + Zoom + Recoil","Presente","Presente","Presente",1
"C23644","79e087ca-270b-4087-b0d4-9d9464369fbd",89,111,1,1,1,3,3.583,5,2.375,3.375,"win",198,435,1.060976,131.818,642,1.565854,194.545,1,1,1,2.121,2.121,34.112084063,59.4635143024,"Rara vez","Menos de 2 horas","Avanzado",5,5,5,5,5,5,5,5,3,1,1,4,1,5,3,1,3,4,5,1,1,5,5,3,1,1,1,3.3,7,6.9993,"Shake + Zoom + Recoil","Presente","Presente","Presente",1
"C27171","fa29c145-da90-4e54-ab17-34b98261236e",173,111,1,1,1,3,3.333,4.375,3.5,2.125,"win",145,435,1.797521,180,365,1.508264,151.034,3.5,3.5,3.5,4.966,4.966,29.2064257028,60.0016064257,"Varias veces por semana","6–10 horas","Avanzado",5,5,3,4,5,3,5,5,2,2,4,4,3,5,5,3,1,2,2,4,1,1,3,3,1,1,1,2.41666666666667,12,12.0011666666667,"Shake + Zoom + Recoil","Presente","Presente","Presente",1
"C27336","32d9bf5b-89d1-4916-895e-c95307c39b07",35,101,1,0,1,2,3.75,3,3.75,4.5,"death",176,434,1.637736,147.955,227,0.856604,77.386,27.5,27.5,27.5,47.272,47.386,28.582003829,49.1678366305,"Varias veces por mes","2–5 horas","Básico",1,5,2,1,1,5,5,4,5,2,4,5,4,2,3,5,5,5,1,5,5,5,5,5,1,0,1,2.93333333333333,139,138.664533333333,"Shake + Recoil","Presente","Ausente","Presente",1
"C32715","6683724d-4b30-470e-b677-f0abfa3ca6d2",71,1,0,0,1,1,4.917,4.75,5,5,"death",287,434,0.724541,90.732,257,0.429048,53.728,8.5,8.5,8.5,19.463,10.453,38.4005636071,59.3578904992,"Varias veces por mes","Menos de 2 horas","Básico",5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,1,4.78333333333333,50,93.0980166666667,"Recoil","Ausente","Ausente","Presente",1
"C4F035","8c8dc550-93e5-4ed0-b7de-35848833931a",101,111,1,1,1,3,3.583,4.625,2.5,3.625,"win",193,435,1.314199,135.233,630,1.903323,195.855,9,9,9,13.99,13.99,30.564803805,59.9791914388,"Varias veces por semana","2–5 horas","Avanzado",5,5,4,4,4,5,5,5,2,4,2,2,2,4,2,2,4,4,3,5,2,3,4,4,1,1,1,3.21666666666667,45,45.0011666666667,"Shake + Zoom + Recoil","Presente","Presente","Presente",1
"C4F673","1032cea7-f187-49e0-9ef5-dab0008fd52b",15,10,0,1,0,1,2.375,3.625,2.5,1,"death",509,434,0.724541,51.159,593,0.989983,69.902,4,4,4,23.637,20.511,42.2937031143,59.6376449193,"Rara vez","Menos de 2 horas","Intermedio",5,2,3,5,5,3,5,1,5,3,1,5,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,8.48333333333333,174,200.52055,"Zoom","Ausente","Presente","Ausente",1
"C4J956","23ab4078-96b4-4d96-83ad-65a4abe8e1b9",29,101,1,0,1,2,3.583,4.25,3.375,3.125,"win",271,435,0.995423,96.31,664,1.519451,147.011,3,3,3,10.185,10.406,43.0650865312,59.6316779533,"Rara vez","Menos de 2 horas","Avanzado",5,5,4,5,5,5,4,1,4,4,3,2,2,4,4,4,2,3,5,2,2,3,4,4,1,0,1,4.51666666666667,47,46.00225,"Shake + Recoil","Presente","Ausente","Presente",1
"C5C743","0973cd03-3e0c-44b3-8c9b-d623f490bb68",8,100,1,0,0,1,5,5,5,5,"win",221,435,1.268222,118.1,439,1.279883,119.186,3.5,3.5,3.5,7.33,7.33,30.7722251447,59.9968437664,"Una vez por semana","6–10 horas","Principiante",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,3.68333333333333,27,26.9988333333333,"Shake","Presente","Ausente","Ausente",1
"C5D447","6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d",80,11,0,1,1,2,4,4.5,4.625,2.875,"death",397,434,0.724541,65.592,1334,2.227045,201.612,27,27,27,65.864,56.071,42.7148688047,59.4536443149,"Diario","2–5 horas","Avanzado",5,5,4,4,4,5,5,4,5,5,5,3,4,5,5,5,3,3,3,3,1,3,4,3,0,1,1,6.61666666666667,371,435.800133333333,"Zoom + Recoil","Ausente","Presente","Presente",1
"C5D722","8049f7ab-ed9a-40c6-ac11-bb00a01272eb",94,1,0,0,1,1,3.5,5,3.5,2,"death",426,434,0.724541,61.127,1041,1.737896,146.62,28.5,28.5,28.5,42.143,37.746,37.345837897,59.9975355969,"Diario","11–20 horas","Experto",5,5,5,5,5,5,5,5,5,5,3,1,1,5,5,3,3,2,2,1,1,4,1,2,0,0,1,7.1,268,299.2153,"Recoil","Ausente","Ausente","Presente",1
"C5F137","23740e2a-e875-442f-a84f-aba564335f30",28,11,0,1,1,2,2.375,1.25,3.25,2.625,"win",404,435,0.739796,64.604,587,0.998299,87.178,4,4,4,20.792,20.941,37.3457324106,60.0072087659,"Una vez por semana","Menos de 2 horas","Intermedio",1,2,1,2,1,1,1,1,4,4,5,1,5,2,1,4,4,2,1,3,1,4,3,3,0,1,1,6.73333333333333,141,139.999466666667,"Zoom + Recoil","Ausente","Presente","Presente",1
