id,player_id,build_version,started_at,ended_at,duration_seconds,final_round,final_level,death_enemy,total_kills,total_damage_taken,total_xp,end_reason,dodges_used,heals_used
00cb4abd-c3c4-445a-9e1a-4eef1cd73545,C6M259,1.0.0,2026-06-09 14:26:18+00,2026-06-09 14:30:06+00,234,5,31,,435,47.0,6067,win,3,137
02f1bdb0-befd-484c-bafd-e0885d364786,C6N101,1.0.0,2026-06-15 19:17:04+00,2026-06-15 19:26:51+00,599,5,33,enemy,434,138.0,9038,death,7,4894
035e4ae5-9b01-49a1-80bb-bfd33381c569,C6E738,1.0.0,2026-06-05 19:14:21+00,2026-06-05 19:19:59+00,348,5,31,,435,16.0,6900,win,0,435
069f9480-fe0a-4e8a-9034-1b95e11a0f92,C6M132,1.0.0,2026-06-11 13:26:52+00,2026-06-11 13:29:00+00,134,1,2,enemy,5,50.0,5,death,0,0
06c446fe-5a73-4930-97bd-9c7179f97dad,C6D516,1.0.0,2026-06-05 19:20:52+00,2026-06-05 19:26:59+00,388,5,31,,435,49.0,6111,win,15,4578
06fe9657-81a8-498e-98e3-7a0a247229de,C6H502,1.0.0,2026-06-08 16:26:35+00,2026-06-08 16:29:45+00,192,4,23,enemy,357,120.015329870897,1542,death,2,2111
09726140-1472-4f52-8046-609564f04c30,C6J251,1.0.0,2026-06-05 16:12:03+00,2026-06-05 16:16:03+00,250,5,33,,435,27.0,9181,win,0,2812
0973cd03-3e0c-44b3-8c9b-d623f490bb68,C5C743,1.0.0,2026-06-08 16:22:30+00,2026-06-08 16:27:57+00,343,5,33,,435,27.0,8677,win,1,4467
0acd8809-8a3f-44e8-8ec9-03fb2ebfa02b,C5G661,1.0.0,2026-06-05 19:21:40+00,2026-06-05 19:28:29+00,420,5,32,,435,47.0,7305,win,13,3512
0af94b2a-fe69-479c-b598-81d3a6b77610,C6D912,1.0.0,2026-06-08 16:12:25+00,2026-06-08 16:18:39+00,384,5,27,,435,40.0,3296,win,2,496
0c266f69-0927-4d71-b084-d2a9b2ea6880,C6D171,1.0.0,2026-06-08 16:13:47+00,2026-06-08 16:20:24+00,413,5,33,,435,190.0,10109,win,26,8995
0c5e03c1-121d-4c92-affb-7ee2298844f7,C6J409,1.0.0,2026-06-09 13:19:05+00,2026-06-09 13:25:43+00,411,5,32,,435,119.0,7646,win,10,8233
0f33c073-f218-41b5-af78-ee891110b44a,C6H280,1.0.0,2026-06-05 19:20:10+00,2026-06-05 19:29:46+00,599,5,34,enemy,434,387.211253999996,11410,death,13,16384
1004050c-e64e-441a-b2d5-113a08160a55,C6M132,1.0.0,2026-06-11 13:19:20+00,2026-06-11 13:26:46+00,465,5,32,king,434,259.371819100001,7482,death,50,16921
1032cea7-f187-49e0-9ef5-dab0008fd52b,C4F673,1.0.0,2026-06-05 19:57:27+00,2026-06-05 20:07:16+00,599,5,32,enemy,434,200.518413216664,8418,death,11,12889
12a9ff81-ed85-4e81-b71e-625079debd23,C6H934,1.0.0,2026-06-08 16:13:20+00,2026-06-08 16:23:11+00,599,5,40,enemy,434,286.0,31199,death,15,7815
12b80902-760c-44ca-ad02-905a58cf4b1e,C6P845,1.0.0,2026-06-15 19:35:11+00,2026-06-15 19:44:54+00,599,5,33,enemy,434,157.717976116666,8527,death,8,13497
15eff53c-31f4-4c88-af46-459ac4ed3c63,C6C990,1.0.0,2026-06-05 15:19:54+00,2026-06-05 15:26:08+00,391,5,25,,435,57.0,2343,win,0,10068
168647f2-0e56-4d4d-8b84-b57b16dc88ff,C6H576,1.0.0,2026-06-15 19:21:09+00,2026-06-15 19:29:07+00,485,5,30,,435,59.0,5319,win,8,4010
16ca93d1-2943-4d98-82c7-bf9db7d72ba8,C6P414,1.0.0,2026-06-15 19:22:43+00,2026-06-15 19:27:42+00,308,1,1,enemy,0,50.0,0,death,0,0
1a01298c-1951-4c77-a8ee-89a3dddad435,C15017,1.0.0,2026-06-05 19:17:32+00,2026-06-05 19:25:06+00,464,5,33,,435,186.0,9573,win,36,16654
1affc0f0-1216-456a-82d6-b2828eb85a72,C5C743,1.0.0,2026-06-08 17:33:16+00,2026-06-08 17:43:07+00,599,2,6,enemy,38,50.0,40,death,0,0
1dce3196-e3f5-479c-9b38-f50703b0e15d,C6D270,1.0.0,2026-06-05 19:16:49+00,2026-06-05 19:20:20+00,219,5,24,,435,16.0,1896,win,5,3323
202b46e4-ad32-49b1-a99e-7a43a68118f3,C6M619,1.0.0,2026-06-09 14:03:43+00,2026-06-09 14:08:48+00,275,5,24,,435,17.0,1873,win,1,1290
2042c711-f981-4d9e-bc9e-1e64f6f65312,C6M259,1.0.0,2026-06-09 14:17:49+00,2026-06-09 14:20:44+00,36,5,26,,435,1.0,2713,win,0,116
2104ffd8-6435-4041-9c45-5c1f205b0976,C6M153,1.0.0,2026-06-15 19:19:40+00,2026-06-15 19:26:28+00,419,5,28,,435,70.0,3615,win,0,4603
2303b01f-fa08-4f77-bc3a-7a0d5f6d678b,C6N196,1.0.0,2026-06-05 19:22:35+00,2026-06-05 19:28:36+00,374,5,28,,435,24.0,3657,win,2,1189
23740e2a-e875-442f-a84f-aba564335f30,C5F137,1.0.0,2026-06-04 19:11:02+00,2026-06-04 19:20:36+00,588,5,37,,435,140.0,20333,win,15,12302
23ab4078-96b4-4d96-83ad-65a4abe8e1b9,C4J956,1.0.0,2026-06-05 19:23:11+00,2026-06-05 19:30:15+00,437,5,28,,435,46.0,4012,win,0,10227
262290b4-7470-4bf4-b2bf-279c0874fdc2,C6N290,1.0.0,2026-06-11 13:09:38+00,2026-06-11 13:14:42+00,325,5,30,,435,26.0,5761,win,0,3896
288dd9db-2943-40d4-bfae-52d4a488fa95,C6K050,1.0.0,2026-06-15 19:12:45+00,2026-06-15 19:22:08+00,571,5,30,,435,131.0,5648,win,0,2323
2c787ceb-9440-491e-b2d7-1df5b5eaa161,C27171,1.0.0,2026-06-04 19:23:43+00,2026-06-04 19:29:32+00,357,1,1,enemy,0,50.0,0,death,0,0
2c88a764-84ed-44a1-b1c1-f2448c972218,C6K468,1.0.0,2026-06-15 19:29:35+00,2026-06-15 19:36:05+00,408,5,30,,435,33.0,5719,win,10,1107
2e50ed36-00fb-4893-87be-ca4faa89845a,C4E990,1.0.0,2026-06-04 19:12:14+00,2026-06-04 19:16:07+00,244,5,31,,435,12.0,6758,win,3,1313
32d9bf5b-89d1-4916-895e-c95307c39b07,C27336,1.0.0,2026-06-08 16:20:16+00,2026-06-08 16:24:31+00,265,5,28,king,434,138.665164133333,3525,death,9,8027
32f853da-62d8-4f61-8ed7-32f77c52f2c5,C6C683,1.0.0,2026-06-09 13:56:01+00,2026-06-09 14:02:24+00,393,5,31,,435,33.0,6038,win,6,3200
342b9a7e-5e72-4d0d-b90e-57947496b99e,C6K100,1.0.0,2026-06-08 16:26:56+00,2026-06-08 16:36:25+00,599,5,30,enemy,434,124.0,4924,death,0,8736
34d0417c-4143-4fc0-a37a-6017fdc07b44,C6N030,1.0.0,2026-06-08 16:31:30+00,2026-06-08 16:38:54+00,457,2,14,zombie,68,152.918333333333,261,death,0,12678
36f78638-69ff-473d-91cc-cd779e015bf1,C6D796,1.0.0,2026-06-08 16:20:36+00,2026-06-08 16:25:56+00,337,5,30,,435,16.0,5345,win,8,456
388b99ba-74c4-48c0-aad0-6171c19d2178,C6F079,1.0.0,2026-06-05 19:35:14+00,2026-06-05 19:38:39+00,213,1,1,enemy,0,50.0,0,death,0,0
38a9e748-36b0-4297-a4fb-eb67a8df8d09,C6M259,1.0.0,2026-06-09 13:26:45+00,2026-06-09 13:33:23+00,402,1,1,enemy,0,50.0,0,death,0,0
38d8b32c-4188-4206-833f-551f5c7cbd9b,C6N678,1.0.0,2026-06-09 13:16:58+00,2026-06-09 13:26:46+00,599,5,31,enemy,434,227.609504819048,6105,death,26,12567
39139dd7-19b0-4fa3-9fb3-94f2cdf42553,C20656,1.0.0,2026-06-04 19:09:26+00,2026-06-04 19:16:46+00,452,5,30,,435,91.0,4953,win,7,1684
3b58d74b-cc08-487e-9868-de651ad91a67,C6J149,1.0.0,2026-06-15 19:14:23+00,2026-06-15 19:19:46+00,336,5,32,,435,47.0,8112,win,10,3189
3df9d1c6-fd5e-4041-ba8b-7a31b3d49eb4,C6P592,1.0.0,2026-06-04 19:11:26+00,2026-06-04 19:16:36+00,322,5,30,enemy,434,248.779999999983,4997,death,0,9625
3e3efb61-24e5-429d-852c-19f4e9fc411c,C22732,1.0.0,2026-06-08 16:25:30+00,2026-06-08 16:31:45+00,383,5,34,,435,105.0,10736,win,7,5348
3f71376e-8540-44d6-8916-5cd239cd8db6,C6D710,1.0.0,2026-06-05 19:18:48+00,2026-06-05 19:24:09+00,332,5,28,,435,34.0,4050,win,3,959
4051b7aa-e01a-4aa7-9892-f783d98cb3c2,C6N926,1.0.0,2026-06-09 13:47:34+00,2026-06-09 13:51:53+00,273,5,31,,435,27.0,6109,win,3,2471
40670b81-b267-43df-9a3a-56f504bf6354,C6M259,1.0.0,2026-06-09 14:30:46+00,2026-06-09 14:33:51+00,228,5,32,king,434,86.6010649714282,8076,death,3,1632
42f13b81-8a0e-4acd-8ce8-8270f40d08b1,C6F475,1.0.0,2026-06-15 19:14:04+00,2026-06-15 19:20:28+00,391,5,32,,435,90.0,7800,win,3,5422
4548f910-9a55-4100-961c-f382f4bb860c,C6Q167,1.0.0,2026-06-11 13:24:18+00,2026-06-11 13:32:53+00,545,5,35,,435,287.0,14271,win,16,10706
46f498f8-bfa4-48ee-aa5f-6484e3e7f8f0,C6M780,1.0.0,2026-06-05 15:24:22+00,2026-06-05 15:25:58+00,261,2,8,enemy,69,50.0,82,death,0,0
47544f88-440c-4c4f-9eff-85ec5f081088,C6M734,1.0.0,2026-06-15 19:31:54+00,2026-06-15 19:37:06+00,329,5,28,,435,28.0,3934,win,0,601
4bfb2dd5-6f1f-475f-8dfa-3073d34d9f8a,C6H486,1.0.0,2026-06-05 19:17:07+00,2026-06-05 19:26:55+00,599,5,30,enemy,434,185.635844587307,5272,death,13,8743
4c3ee856-dc8a-44b9-af4c-599ed8f7cff0,C6C335,1.0.0,2026-06-05 15:17:21+00,2026-06-05 15:26:58+00,596,5,35,,435,102.0,13490,win,17,2546
4eefb700-f3e5-46fc-b13e-88efb939c15b,C6E448,1.0.0,2026-06-08 16:22:39+00,2026-06-08 16:30:03+00,463,5,31,,435,119.0,6557,win,22,9847
501f44e6-b8f8-4dfe-a46e-fc95d6f90753,C6M734,1.0.0,2026-06-15 19:37:13+00,2026-06-15 19:40:16+00,189,5,24,,435,13.0,1696,win,2,198
50d353db-3226-48d3-89fd-00a80fcf618d,C6M899,1.0.0,2026-06-09 13:16:09+00,2026-06-09 13:23:55+00,478,5,29,,435,17.0,4195,win,2,3495
51e201a5-8671-4003-b7bf-2453a27f8181,C6F087,1.0.0,2026-06-09 13:16:02+00,2026-06-09 13:25:46+00,599,5,39,enemy,434,672.520795344445,28645,death,23,27513
525e6543-d63d-4785-b687-fc62572801c7,765601,1.0.0,2026-06-04 19:27:45+00,2026-06-04 19:29:37+00,114,2,8,enemy,54,54.5549999999996,75,death,0,1822
5301e41a-4687-4d81-abd5-9103dd9d50e5,C6F079,1.0.0,2026-06-05 19:30:30+00,2026-06-05 19:35:06+00,386,5,30,,435,18.0,5306,win,4,1568
54448c6e-91f8-473c-9073-92b6e431d4a0,C6C740,1.0.0,2026-06-04 19:07:45+00,2026-06-04 19:12:39+00,302,5,31,,435,19.0,6289,win,0,1142
547c202d-b1b3-4c60-99a5-8ea4b22b788b,C6P601,1.0.0,2026-06-04 19:08:58+00,2026-06-04 19:11:52+00,187,5,24,,435,20.0,1921,win,1,3901
55442d1a-09e9-40da-bd50-07067d06d202,C6F310,1.0.0,2026-06-08 16:18:23+00,2026-06-08 16:20:24+00,127,2,9,zombie,64,50.61,94,death,0,46
5ad6173a-e8c5-467c-84e4-239f7bafba3f,C6J251,1.0.0,2026-06-05 15:15:21+00,2026-06-05 15:21:05+00,360,5,31,,435,22.0,6380,win,1,2717
5f346316-7b98-4fed-9d5e-0aace5ac2f77,C6C128,1.0.0,2026-06-08 16:17:55+00,2026-06-08 16:27:37+00,599,5,34,enemy,434,281.879999999999,11091,death,51,11484
613255d8-47d3-42be-8925-4e006c72eb2f,C6N732,1.0.0,2026-06-08 16:19:38+00,2026-06-08 16:24:33+00,320,5,34,,435,30.0,10393,win,15,455
621165b4-b72a-4b51-aca8-8901fdd12de6,C6M619,1.0.0,2026-06-09 13:17:36+00,2026-06-09 13:22:46+00,324,5,24,,435,3.0,1638,win,0,101
634e38f9-b18e-4f50-9032-7a9cd74c0cb3,C6J186,1.0.0,2026-06-08 16:23:03+00,2026-06-08 16:27:29+00,279,5,31,,435,43.0,6218,win,13,1425
65b2d718-b1e1-4b2e-90c8-b45bf09c8a0c,C6N421,1.0.0,2026-06-04 19:13:49+00,2026-06-04 19:20:06+00,395,5,29,,435,68.0,4180,win,7,5262
6683724d-4b30-470e-b677-f0abfa3ca6d2,C32715,1.0.0,2026-06-15 19:17:26+00,2026-06-15 19:27:12+00,599,5,27,enemy,434,93.0983387682546,3082,death,2,8029
67c16107-bd12-4c96-ac7e-51da750aa2c3,C6C662,1.0.0,2026-06-08 16:17:38+00,2026-06-08 16:24:49+00,442,5,37,,435,109.0,18619,win,18,13400
689bcacd-5e06-4be3-be11-3e60dc829331,C5J686,1.0.0,2026-06-09 13:36:26+00,2026-06-09 13:44:18+00,486,5,37,,435,40.0,18264,win,9,847
692afeaf-88db-4284-976e-beeee8413b96,C6E975,1.0.0,2026-06-08 16:17:06+00,2026-06-08 16:26:50+00,599,5,30,enemy,434,164.0,5623,death,1,4132
6d229162-2e07-41e4-bc92-6ad11ae33970,C6M780,1.0.0,2026-06-05 15:16:12+00,2026-06-05 15:21:36+00,338,5,29,,435,15.0,4616,win,0,2366
6d6c8b0a-7f32-4120-864f-1757d438c8a5,C6F310,1.0.0,2026-06-08 16:15:23+00,2026-06-08 16:18:17+00,200,3,13,archer,95,75.91,201,death,3,92
6ed179b4-89b7-43c6-822a-653ff5ce4b9d,C6N647,1.0.0,2026-06-11 13:12:29+00,2026-06-11 13:20:39+00,502,5,33,,435,454.0,10155,win,19,19757
6f344d23-060f-487f-9a19-960432103187,C6H469,1.0.0,2026-06-11 13:10:33+00,2026-06-11 13:16:15+00,354,5,32,,435,33.0,7860,win,1,5963
6f5d4349-239d-44b8-98da-4828fdc75a5c,C6F643,1.0.0,2026-06-05 19:19:49+00,2026-06-05 19:27:59+00,545,5,36,,435,65.0,17118,win,12,4461
6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d,C5D447,1.0.0,2026-06-05 19:16:16+00,2026-06-05 19:26:05+00,599,5,35,enemy,434,435.80137912323,14093,death,52,22821
6f93e1ac-02d4-4851-9145-f230dc3f0436,C6P512,1.0.0,2026-06-15 19:15:38+00,2026-06-15 19:25:00+00,573,5,36,,435,354.0,16902,win,79,14452
70148665-4c49-4e80-9e8d-bfddc9aaebd0,C6H502,1.0.0,2026-06-08 16:19:56+00,2026-06-08 16:26:33+00,407,5,33,,435,185.0,8802,win,34,11057
7031b138-ad7f-4da4-a7d4-d8b5e3ecd4df,C6M259,1.0.0,2026-06-09 14:14:23+00,2026-06-09 14:17:02+00,166,5,26,,435,2.0,2430,win,0,44
7033731e-be72-49f3-a158-88e7c4890a67,C6E968,1.0.0,2026-06-08 16:37:51+00,2026-06-08 16:47:27+00,599,5,26,enemy,434,130.166994333333,2825,death,2,8599
7546a5ef-7cb3-4608-8e5e-89703199492a,C6P283,1.0.0,2026-06-05 16:12:04+00,2026-06-05 16:17:41+00,352,5,35,,435,90.0,13321,win,0,9037
788b5019-b7b5-469d-a1cb-3097e10d49ad,C6C683,1.0.0,2026-06-09 14:02:33+00,2026-06-09 14:05:50+00,206,1,1,enemy,0,50.0,0,death,0,0
7977afbe-8e55-42c2-93d8-26664e97cf4e,C6K604,1.0.0,2026-06-08 16:26:52+00,2026-06-08 16:35:28+00,529,5,33,,435,84.0,8697,win,34,14942
79cce2e0-a462-4d63-81d1-e8d2ee2a09fc,C6N291,1.0.0,2026-06-09 13:53:50+00,2026-06-09 13:59:56+00,385,5,29,,435,93.0,4812,win,7,7374
79e087ca-270b-4087-b0d4-9d9464369fbd,C23644,1.0.0,2026-06-08 16:20:07+00,2026-06-08 16:26:35+00,410,5,28,,435,7.0,3663,win,1,1380
7a2a5f50-6269-4136-867f-01efe12eb3b1,C6J145,1.0.0,2026-06-11 13:17:42+00,2026-06-11 13:23:56+00,389,5,30,,435,21.0,5205,win,0,3009
7c364856-4292-498d-ab1a-e6d80a700e44,C6C267,1.0.0,2026-06-08 16:12:38+00,2026-06-08 16:21:55+00,585,5,31,,435,113.0,6236,win,19,8833
7cbc6bac-31b7-4341-8e27-9e0e39ea6ad5,C6F196,1.0.0,2026-06-11 13:14:16+00,2026-06-11 13:20:10+00,383,5,31,,435,43.0,6056,win,2,2447
7f9a2bfb-e0f8-4dd3-9aad-991db4caf9bf,C6J068,1.0.0,2026-06-05 15:16:18+00,2026-06-05 15:23:20+00,442,5,34,,435,34.0,11891,win,8,4804
8049f7ab-ed9a-40c6-ac11-bb00a01272eb,C5D722,1.0.0,2026-06-04 19:13:34+00,2026-06-04 19:23:01+00,599,5,37,enemy,434,299.21333333334,17700,death,0,7884
81897b06-fd81-4935-9f3e-1c168deb59e9,C6E800,1.0.0,2026-06-05 15:20:58+00,2026-06-05 15:30:29+00,582,5,37,,435,383.0,18914,win,77,22917
81b98eed-3c9b-4dac-a7cf-101b8d758192,C22732,1.0.0,2026-06-08 16:32:13+00,2026-06-08 16:35:21+00,216,4,22,enemy,403,98.5584192329947,1192,death,2,3886
858e8d70-6151-46c8-ae86-08a6672d77f6,C6F087,1.0.0,2026-06-09 14:00:31+00,2026-06-09 14:08:14+00,485,5,38,,435,236.0,24899,win,12,13678
866ae6ff-f11a-48a5-80c4-82cc30f73382,C6P283,1.0.0,2026-06-05 15:17:05+00,2026-06-05 15:26:50+00,599,5,38,enemy,434,232.981666666669,23675,death,32,8354
87f2ad84-6a6c-45fd-8769-fbb8127db460,765601,1.0.0,2026-06-04 19:29:57+00,2026-06-04 19:32:19+00,162,2,7,archer,37,55.646640533334,56,death,0,1658
89ad5a3a-b615-4b5c-935b-4558b5a3b498,C6M259,1.0.0,2026-06-09 14:21:16+00,2026-06-09 14:24:12+00,182,5,27,,435,0.0,3069,win,0,0
8c8dc550-93e5-4ed0-b7de-35848833931a,C4F035,1.0.0,2026-06-05 19:23:34+00,2026-06-05 19:28:56+00,331,5,29,,435,45.0,4207,win,1,6139
8d3951ff-68f5-4229-abc8-b0e014ccf3e4,C6E975,1.0.0,2026-06-08 16:27:29+00,2026-06-08 16:34:34+00,438,5,37,,435,84.0,18391,win,7,2041
8e67c14b-098a-4790-8301-ab832419230f,C6E631,1.0.0,2026-06-08 16:18:18+00,2026-06-08 16:24:59+00,412,5,30,,435,33.0,5720,win,11,5570
91b87802-8707-470d-9d00-064479a4a5b8,C6P919,1.0.0,2026-06-11 13:18:41+00,2026-06-11 13:28:20+00,599,4,22,enemy,184,104.470669050001,1192,death,1,7481
92d8e45d-01ab-4c73-a57a-7ca89a92dea1,C6E333,1.0.0,2026-06-05 15:14:14+00,2026-06-05 15:20:45+00,434,5,28,,435,19.0,3940,win,0,1934
93bad4a3-b6cc-4716-8212-ae631efe5f35,C6N594,1.0.0,2026-06-09 13:18:36+00,2026-06-09 13:22:59+00,287,5,28,,435,30.0,3949,win,10,2648
9587088e-2b70-400c-959b-ed89dcdcc02a,C6M619,1.0.0,2026-06-09 14:31:05+00,2026-06-09 14:35:55+00,297,5,30,,435,116.0,5126,win,0,499
989215b9-2bdf-4c15-a089-a53d4e201445,765601,1.0.0,2026-06-04 19:45:13+00,2026-06-04 19:47:14+00,129,3,16,enemy,149,55.7499999999967,364,death,1,1399
996ab3fb-c28a-4951-a2af-8850a2aaf382,C6K949,1.0.0,2026-06-08 16:11:51+00,2026-06-08 16:15:20+00,220,3,19,enemy,191,80.4599999999999,704,death,13,172
9ab3cb58-4328-49e5-83a8-a1dbb1e96fa3,C27336,1.0.0,2026-06-08 16:24:35+00,2026-06-08 16:29:57+00,326,5,23,zombie,409,72.5262044305918,1455,death,5,6184
9cd9cb7a-588c-4e2b-be05-e8bb79f9757f,C6M259,1.0.0,2026-06-09 13:23:32+00,2026-06-09 13:26:39+00,197,5,28,,435,19.0,3770,win,2,1317
9d8bbd50-38f6-4adb-b6bd-75316bcbdefc,C6D710,1.0.0,2026-06-05 19:24:45+00,2026-06-05 19:28:37+00,267,4,20,enemy,303,118.53665,912,death,0,2428
9e43f054-b7f0-4a0e-ab92-f14b62b69f0f,C6E077,1.0.0,2026-06-05 15:19:51+00,2026-06-05 15:25:21+00,340,5,31,,435,86.0,6995,win,19,7569
9face13f-c901-4cc0-9f9a-dd9efc6d4887,C5J364,1.0.0,2026-06-04 19:14:14+00,2026-06-04 19:23:57+00,599,5,28,enemy,434,290.995302300015,3570,death,0,25747
a0bf9a3f-dcc7-48b9-953c-ec94412c791d,C6M649,1.0.0,2026-06-08 16:18:56+00,2026-06-08 16:28:40+00,599,5,36,enemy,434,189.0,15524,death,52,10559
a237dbf8-beeb-4a59-ab92-d49219739e0e,C6K949,1.0.0,2026-06-08 16:15:31+00,2026-06-08 16:21:39+00,379,5,32,enemy,434,172.0,7800,death,32,8215
a39e7406-c615-43bd-8fd2-7e790ad63876,C6E934,1.0.0,2026-06-09 13:26:58+00,2026-06-09 13:31:47+00,297,1,1,enemy,0,50.0,0,death,0,0
a6d1ed5d-2cb9-4cee-ab6d-4425ab35a53d,C6M259,1.0.0,2026-06-09 14:36:51+00,2026-06-09 14:40:36+00,241,5,29,,435,40.0,4817,win,1,0
a87a8604-d3a5-44e7-935f-4c2dc8365229,C6P592,1.0.0,2026-06-04 19:06:45+00,2026-06-04 19:11:13+00,277,5,30,,435,29.0,5092,win,3,178
