id,run_id,game_time_seconds,round,option_1,option_2,option_3,selected_option,decision_ms,rerolls
001a20a3-b183-4ceb-b59f-6e5c4bfa27c6,1dce3196-e3f5-479c-9b38-f50703b0e15d,65,3,Daño II,Daño I,Esquiva I,Daño II,1003,0
00284b96-88ae-4caf-ab6a-52612b5e548c,7977afbe-8e55-42c2-93d8-26664e97cf4e,350,5,Botas veloces,Vampirismo I,Botas ligeras,Botas veloces,2300,0
002bf44f-4df6-41db-9b1c-82dd0e82d4f0,7546a5ef-7cb3-4608-8e5e-89703199492a,170,5,Daño II,Imán I,Daño I,Daño II,4089,0
005502a4-a019-4b46-8f07-a5d2b7c4fa9c,38d8b32c-4188-4206-833f-551f5c7cbd9b,439,5,Codicia,Suerte menor,Imán II,Codicia,3438,0
00574ad5-e9ad-47f4-980c-04e752bacb96,4548f910-9a55-4100-961c-f382f4bb860c,115,3,Codicia,Vampirismo I,Aura I,Codicia,7638,0
006480ef-9394-4021-bf90-1f2ff5299d5e,866ae6ff-f11a-48a5-80c4-82cc30f73382,217,5,Venganza II,Suerte menor,Imán I,Venganza II,3264,0
00742980-8130-4e8c-9bb5-24b1162ef6fd,fd1e77bb-7d0a-4c7f-8dbc-66e1a1900f98,33,2,Daño II,Aniquilación,Imán II,Aniquilación,755,0
00846c26-1789-4d2b-bf2c-b95a9f8d4d1b,6f344d23-060f-487f-9a19-960432103187,192,5,Onda mayor,Llama eterna,Esquiva I,Llama eterna,1409,0
0099197d-8def-4ca4-b316-6696d210c23e,7546a5ef-7cb3-4608-8e5e-89703199492a,38,2,Daño I,Imán II,Esquiva II,Daño I,3582,0
00993272-5ae8-42b6-9f94-e17f3d4323c0,f598cc70-cae8-420e-be86-d7c0aaab814f,310,5,Daño II,Cadencia I,Ojo certero,Ojo certero,3709,0
00a944ea-92a1-4d1b-b62b-8006d0a81a72,a87a8604-d3a5-44e7-935f-4c2dc8365229,53,2,Regeneración II,Codicia,Daño II,Codicia,1766,0
00b172f4-84a2-4d25-9a4f-0b24f47ded23,6f93e1ac-02d4-4851-9145-f230dc3f0436,137,5,Regeneración I,Codicia,Regeneración IV,Regeneración IV,4988,0
00b32d7e-ceec-4013-8eca-5b27cdf48a3d,38d8b32c-4188-4206-833f-551f5c7cbd9b,191,3,Aura I,Trébol,Regeneración II,Regeneración II,1459,0
00b68cc5-be0b-4c41-8a5e-2c86887c887e,2303b01f-fa08-4f77-bc3a-7a0d5f6d678b,52,3,Suerte mayor,Suerte menor,Esquiva I,Suerte mayor,5742,0
00b8759a-5b71-414d-b412-89693cc55294,12a9ff81-ed85-4e81-b71e-625079debd23,32,2,Aura I,Vitalidad II,Imán II,Imán II,4100,0
00d1ac8e-3231-4560-8c4b-c997e7a30284,81897b06-fd81-4935-9f3e-1c168deb59e9,79,3,Sabiduría,Regeneración IV,Esquiva II,Regeneración IV,1197,0
00d69a03-af55-480c-ad16-cc6b960dd29c,3df9d1c6-fd5e-4041-ba8b-7a31b3d49eb4,85,4,Daño I,Vampirismo IV,Pulso I,Vampirismo IV,2431,0
00da9052-5324-4217-be71-c8157b92995f,7f9a2bfb-e0f8-4dd3-9aad-991db4caf9bf,25,2,Imán I,Esquiva I,Regeneración I,Esquiva I,7494,0
00dc3790-d992-430e-9807-0699b2515d87,1004050c-e64e-441a-b2d5-113a08160a55,62,2,Flecha extra,Suerte mayor,Imán II,Suerte mayor,4873,0
00e12374-9798-406d-90b2-b025d7c35127,ceab0b07-b184-4685-b87a-c7114da64c24,247,5,Esquiva I,Venganza IV,Imán I,Venganza IV,1155,0
00e4d1f2-3bde-4bc3-a0c7-d2ca31e23f79,91b87802-8707-470d-9d00-064479a4a5b8,16,1,Regeneración I,Esquiva I,Vampirismo I,Esquiva I,21992,0
00f32eca-0706-4c0d-a2b0-41b7084b2ced,eec8103b-bda3-4b52-8ef4-9a1612e30394,11,1,Venganza IV,Aura I,Daño II,Daño II,9400,0
00f73cd3-759e-42c8-8de7-5736b00d4cc8,d4278cff-e28c-4a9e-bfb9-0f0b9f7256e8,168,4,Regeneración IV,Trébol,Suerte menor,Suerte menor,3100,0
00faf8ba-dad8-44ca-8a54-9c9430db24b4,989215b9-2bdf-4c15-a089-a53d4e201445,20,1,Aura II,Campo magnético,Imán II,Imán II,2567,0
010b8e93-a793-489b-b136-d7ed001e5c4e,866ae6ff-f11a-48a5-80c4-82cc30f73382,107,4,Daño I,Alcance II,Botas veloces,Botas veloces,2698,0
014214b9-a8c0-4294-9963-f8fa5ceaa536,6f344d23-060f-487f-9a19-960432103187,29,2,Venganza II,Bastión,Imán II,Bastión,11894,0
015d37b7-abdd-473b-b276-7b9f4765b138,c2df6f2d-07f9-4a83-8136-fc23784b3bfd,138,5,Daño I,Venganza II,Puntería I,Puntería I,1081,0
016dc013-c41f-4cd7-9fee-76ca2992b30f,342b9a7e-5e72-4d0d-b90e-57947496b99e,104,3,Aura intensa,Alcance II,Cadencia II,Cadencia II,4699,0
016f89c5-8cce-4e96-94a9-e0514bf5f983,1004050c-e64e-441a-b2d5-113a08160a55,255,4,Flecha ardiente,Fortuna legendaria,Vampirismo IV,Flecha ardiente,3364,0
0174b99f-15ae-4bab-b72d-c296ca64b4f3,8049f7ab-ed9a-40c6-ac11-bb00a01272eb,172,5,Esquiva I,Regeneración I,Venganza I,Venganza I,5867,0
0183bc55-d84d-41d4-a09e-179d18e49baa,6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d,9,1,Aura II,Esquiva I,Regeneración IV,Aura II,6336,0
018cf7b6-ddb3-49e9-9cc6-399d5c84b013,7f9a2bfb-e0f8-4dd3-9aad-991db4caf9bf,125,4,Daño II,Suerte menor,Imán I,Daño II,1197,0
