"contrast","estimate","SE","df","t.ratio","p.value","variable"
"C1_shake - C0_baseline",19.6580459770115,42.6322668468443,170,0.461107218333774,0.980004903489257,"duration_seconds"
"C2_zoom - C0_baseline",65.352490421456,46.3573698917837,170,1.40975406012063,0.557706309674718,"duration_seconds"
"C3_recoil - C0_baseline",41.2413793103449,42.6322668468443,170,0.967374769408905,0.821720573221178,"duration_seconds"
"C4_shake_zoom - C0_baseline",36.0106100795756,41.7254262956124,170,0.863037559507505,0.869670677588269,"duration_seconds"
"C5_shake_recoil - C0_baseline",26.6413793103449,44.9044264696745,170,0.593290715523039,0.956533675422552,"duration_seconds"
"C6_zoom_recoil - C0_baseline",97.5191570881227,46.3573698917837,170,2.10363869468373,0.182550348242353,"duration_seconds"
"C7_all - C0_baseline",-5.86388384754986,45.5984342155327,170,-0.128598359755791,0.999671132666533,"duration_seconds"
"C1_shake - C0_baseline",-0.620689655172413,0.365103306155398,170,-1.70003844037564,0.376585754252791,"final_round"
"C2_zoom - C0_baseline",0.21264367816092,0.397005138689026,170,0.535619460400697,0.968193722921723,"final_round"
"C3_recoil - C0_baseline",-0.0790229885057464,0.365103306155399,170,-0.216440079214489,0.998212467394964,"final_round"
"C4_shake_zoom - C0_baseline",-0.274535809018567,0.35733711148881,170,-0.768282387112664,0.906402409757062,"final_round"
"C5_shake_recoil - C0_baseline",-0.420689655172413,0.384562111697885,170,-1.09394462526488,0.754195985754534,"final_round"
"C6_zoom_recoil - C0_baseline",-0.398467432950191,0.397005138689026,170,-1.00368331318329,0.803322692038002,"final_round"
"C7_all - C0_baseline",-0.304900181488203,0.390505603359272,170,-0.78078311518539,0.901941523876645,"final_round"
"C1_shake - C0_baseline",-5.38218390804598,2.85901641501157,170,-1.88252990776347,0.278263849382642,"final_level"
"C2_zoom - C0_baseline",3.47892720306514,3.10883026589949,170,1.11904700659448,0.739764367333128,"final_level"
"C3_recoil - C0_baseline",0.0344827586206917,2.85901641501157,170,0.0120610565366593,0.999999857511583,"final_level"
"C4_shake_zoom - C0_baseline",-2.00397877984085,2.79820163284003,170,-0.716166682315496,0.923726571018799,"final_level"
"C5_shake_recoil - C0_baseline",-4.21551724137931,3.01139258779487,170,-1.39985641807871,0.564119703837824,"final_level"
"C6_zoom_recoil - C0_baseline",-0.743295019157087,3.10883026589949,170,-0.239091541056529,0.997533615240802,"final_level"
"C7_all - C0_baseline",-2.91288566243194,3.05793431978115,170,-0.952566457555704,0.828980075310569,"final_level"
"C1_shake - C0_baseline",-0.0804727927675905,0.245302705569932,170,-0.328055055816124,0.993183706114874,"damage_taken_rate"
"C2_zoom - C0_baseline",-0.0171511361983851,0.266736655088337,170,-0.0642998848159997,0.999965852005847,"damage_taken_rate"
"C3_recoil - C0_baseline",0.224811473334217,0.245302705569932,170,0.916465526998137,0.846061019593656,"damage_taken_rate"
"C4_shake_zoom - C0_baseline",-0.058332461255425,0.240084816464086,170,-0.24296605722316,0.997402188402094,"damage_taken_rate"
"C5_shake_recoil - C0_baseline",0.270331368731404,0.258376533076439,170,1.04626904584801,0.780715719550106,"damage_taken_rate"
"C6_zoom_recoil - C0_baseline",0.257825091531852,0.266736655088337,170,0.966590405231205,0.822108704791224,"damage_taken_rate"
"C7_all - C0_baseline",-0.12173462983208,0.262369798983624,170,-0.463981107214547,0.979613413955604,"damage_taken_rate"
"C1_shake - C0_baseline",-0.0263813366619263,0.049773942314971,170,-0.530023048907488,0.969204835418678,"hits_rate"
"C2_zoom - C0_baseline",0.0293660704149391,0.0541230674680441,170,0.542579565215473,0.966907085801278,"hits_rate"
"C3_recoil - C0_baseline",-0.0485493703102383,0.049773942314971,170,-0.975397327441263,0.817727778004574,"hits_rate"
"C4_shake_zoom - C0_baseline",-0.0246932293738066,0.0487151895761583,170,-0.506889731696574,0.973166067861566,"hits_rate"
"C5_shake_recoil - C0_baseline",-0.0421608672720003,0.0524267297541998,170,-0.804186480249093,0.893273374312789,"hits_rate"
"C6_zoom_recoil - C0_baseline",0.0496420429982021,0.0541230674680441,170,0.917206753433039,0.845719290739151,"hits_rate"
"C7_all - C0_baseline",-0.0840800892434776,0.0532369963448219,170,-1.57935449060427,0.449356804576428,"hits_rate"
"C1_shake - C0_baseline",-0.833161947485561,0.274570271842984,170,-3.0344215413168,0.0172001503242526,"kill_rate"
"C2_zoom - C0_baseline",-0.600177506494438,0.298561549608404,170,-2.01023041071978,0.219699397646533,"kill_rate"
"C3_recoil - C0_baseline",-0.617927082619129,0.274570271842984,170,-2.25052435018346,0.133657333029851,"kill_rate"
"C4_shake_zoom - C0_baseline",-0.630704116567359,0.268729825742277,170,-2.34698219605974,0.107486701722101,"kill_rate"
"C5_shake_recoil - C0_baseline",-0.749777204435409,0.289203964382778,170,-2.59255507107446,0.0589926803276715,"kill_rate"
"C6_zoom_recoil - C0_baseline",-0.946394282983412,0.298561549608404,170,-3.16984649974088,0.0113616904358983,"kill_rate"
"C7_all - C0_baseline",-0.429405407989781,0.29367367499249,170,-1.46218556362181,0.523796983811223,"kill_rate"
"C1_shake - C0_baseline",-11.127333119751,3.5295423748142,170,-3.15262771716594,0.0119878539694147,"xp_rate"
"C2_zoom - C0_baseline",2.22543699153353,3.83794514154713,170,0.579851172817032,0.95945663985008,"xp_rate"
"C3_recoil - C0_baseline",-2.68522257731751,3.5295423748142,170,-0.760784909816775,0.909021235758037,"xp_rate"
"C4_shake_zoom - C0_baseline",-4.75349969730637,3.45446468391235,170,-1.37604524354923,0.579545373914406,"xp_rate"
"C5_shake_recoil - C0_baseline",-9.61204205812858,3.71765537616906,170,-2.58551185775415,0.0600692332597104,"xp_rate"
"C6_zoom_recoil - C0_baseline",-1.52088354108116,3.83794514154713,170,-0.396275476847506,0.987576991886244,"xp_rate"
"C7_all - C0_baseline",-5.9241858627923,3.77511255423223,170,-1.56927396936835,0.455645473602996,"xp_rate"
"C1_shake - C0_baseline",-0.0380513111293595,0.0185018057597655,165,-2.05662688406917,0.200795352487401,"jitter_rate"
"C2_zoom - C0_baseline",-0.0175822511559399,0.0200680259696889,165,-0.876132569416466,0.864070447171309,"jitter_rate"
"C3_recoil - C0_baseline",-0.0341050556547694,0.0185018057597655,165,-1.84333659630862,0.298131153215052,"jitter_rate"
"C4_shake_zoom - C0_baseline",-0.0226481739928087,0.0181211564900791,165,-1.24981945855432,0.660409779008209,"jitter_rate"
"C5_shake_recoil - C0_baseline",-0.0192214097687335,0.0194566730542737,165,-0.987908349753117,0.811422013389452,"jitter_rate"
"C6_zoom_recoil - C0_baseline",-0.0162186006698505,0.0200680259696889,165,-0.808181168110273,0.891748401696782,"jitter_rate"
"C7_all - C0_baseline",-0.00486069766887753,0.0208069721798756,165,-0.233609081939312,0.99771133491062,"jitter_rate"
"C1_shake - C0_baseline",-1.02647568765977,0.302063006665723,165,-3.39821714347071,0.00547325703888357,"input_rate"
"C2_zoom - C0_baseline",-0.565945394612325,0.327633331630376,165,-1.72737429307346,0.360985783631981,"input_rate"
"C3_recoil - C0_baseline",-0.761251629713096,0.302063006665723,165,-2.520174973149,0.0709960575500471,"input_rate"
"C4_shake_zoom - C0_baseline",-0.767656408315149,0.295848474723299,165,-2.59476209580977,0.0587778789707747,"input_rate"
"C5_shake_recoil - C0_baseline",-0.748276827611638,0.317652300472555,165,-2.3556474374606,0.105492873989212,"input_rate"
"C6_zoom_recoil - C0_baseline",-0.727349856100223,0.327633331630376,165,-2.22001178109922,0.143037180019859,"input_rate"
"C7_all - C0_baseline",-0.0704464360848345,0.339697468337433,165,-0.207379926702479,0.998443432282824,"input_rate"
"C1_shake - C0_baseline",-25.7520587827122,9.8867251494505,165,-2.60471069979562,0.0572910674640832,"distance_rate"
"C2_zoom - C0_baseline",-9.81467830219946,10.7236590649876,165,-0.9152359509679,0.846626239493598,"distance_rate"
"C3_recoil - C0_baseline",-22.498787126872,9.8867251494505,165,-2.27565617398825,0.126552908118437,"distance_rate"
"C4_shake_zoom - C0_baseline",-19.0172820489587,9.6833193437365,165,-1.96392180964885,0.240049746091687,"distance_rate"
"C5_shake_recoil - C0_baseline",-15.9610397384651,10.3969732094281,165,-1.53516214930625,0.477198140776403,"distance_rate"
"C6_zoom_recoil - C0_baseline",-14.8404430240349,10.7236590649876,165,-1.38389731845247,0.574516074293848,"distance_rate"
"C7_all - C0_baseline",-3.7221044635798,11.1185263647098,165,-0.334765987999431,0.99272744328583,"distance_rate"
"C1_shake - C0_baseline",-17.7022556283113,9.85588055471726,165,-1.79611101514807,0.322947510679839,"speed_mean"
"C2_zoom - C0_baseline",-0.89893305388839,10.690203404704,165,-0.0840894246682744,0.999917859577059,"speed_mean"
"C3_recoil - C0_baseline",-11.6272852098092,9.85588055471726,165,-1.17973073489046,0.703731230830033,"speed_mean"
"C4_shake_zoom - C0_baseline",-11.4609636823053,9.65310933422221,165,-1.18728207518316,0.699142032596943,"speed_mean"
"C5_shake_recoil - C0_baseline",-12.7816462940191,10.3645367433334,165,-1.23320960796828,0.670812178847414,"speed_mean"
"C6_zoom_recoil - C0_baseline",-9.93143334814999,10.690203404704,165,-0.92902192523108,0.84022071728688,"speed_mean"
"C7_all - C0_baseline",0.394083298889525,11.0838387978395,165,0.0355547663654529,0.999995087802394,"speed_mean"
"C1_shake - C0_baseline",1.05497632429272,2.77130658864356,165,0.380678315642113,0.98905713026888,"enemies_alive_mean"
