"effect","variable","df","sum_sq","mean_sq","f_value","p_value","partial_eta_squared"
"camera_recoil","duration_seconds",1,5806.31920050887,5806.31920050887,0.243271193674971,0.622489939645518,0.00142896216672327
"camera_shake","duration_seconds",1,24586.8764044944,24586.8764044944,1.03013261329762,0.311569856233161,0.00602310597295019
"camera_shake:camera_recoil","duration_seconds",1,33377.1970750615,33377.1970750615,1.39842648906787,0.238638502066729,0.00815892256255375
"camera_shake:camera_zoom","duration_seconds",1,48138.485518783,48138.485518783,2.0168899485983,0.157388808841424,0.0117249529927031
"camera_shake:camera_zoom:camera_recoil","duration_seconds",1,4277.3224091701,4277.3224091701,0.17920980440075,0.672588279510404,0.00105306520465531
"camera_zoom","duration_seconds",1,35499.4737163037,35499.4737163037,1.48734491638723,0.224318189872395,0.00867320511092189
"camera_zoom:camera_recoil","duration_seconds",1,9223.77926156501,9223.77926156501,0.386454776884934,0.535001595466518,0.00226810738794338
"Residuals","duration_seconds",170,4057505.73742535,23867.6808083844,,,
"camera_recoil","final_round",1,0.555590144531225,0.555590144531225,0.317387363665189,0.573924321630661,0.00186350535654646
"camera_shake","final_round",1,5.39887640449438,5.39887640449438,3.0841712468144,0.0808582785184559,0.0178189098667864
"camera_shake:camera_recoil","final_round",1,1.58780339970793,1.58780339970793,0.907051249940955,0.342250179423529,0.00530727809828308
"camera_shake:camera_zoom","final_round",1,0.923599110707857,0.923599110707857,0.527616786792381,0.468609467864686,0.0030940254530857
"camera_shake:camera_zoom:camera_recoil","final_round",1,0.246033032130066,0.246033032130066,0.140549245178207,0.708202880330108,0.000826077297867838
"camera_zoom","final_round",1,0.397769570444353,0.397769570444353,0.227230516149792,0.63419715786716,0.00133486584643832
"camera_zoom:camera_recoil","final_round",1,1.55622813289712,1.55622813289712,0.889013509731282,0.347082788979467,0.00520228592507298
"Residuals","final_round",170,297.586909193851,1.75051123055207,,,
"camera_recoil","final_level",1,29.0095377137052,29.0095377137052,0.270255250625726,0.603836868416227,0.00158721351669985
"camera_shake","final_level",1,773.26404494382,773.26404494382,7.20379174354874,0.00799456572776978,0.0406525823892874
"camera_shake:camera_recoil","final_level",1,36.5362345997217,36.5362345997217,0.340374580805651,0.560386290628673,0.0019982026084144
"camera_shake:camera_zoom","final_level",1,11.9972207021204,11.9972207021204,0.111767099485074,0.738553297362629,0.000657021565237816
"camera_shake:camera_zoom:camera_recoil","final_level",1,12.856954222822,12.856954222822,0.119776448010431,0.729705018954577,0.000704071275611128
"camera_zoom","final_level",1,160.784785800157,160.784785800157,1.49788435141786,0.222690708777913,0.00873412728724123
"camera_zoom:camera_recoil","final_level",1,107.476111251985,107.476111251985,1.00125633401463,0.318428855991408,0.00585525718044369
"Residuals","final_level",170,18248.0133130129,107.341254782429,,,
"camera_recoil","damage_taken_rate",1,1.72329827518085,1.72329827518085,2.18083298259046,0.141588850306052,0.0126659451276494
"camera_shake","damage_taken_rate",1,0.571040873988525,0.571040873988525,0.722651899753549,0.396471066960121,0.00423289992108301
"camera_shake:camera_recoil","damage_taken_rate",1,0.114848962037224,0.114848962037224,0.145341295836191,0.70350377601019,0.000854218485967726
"camera_shake:camera_zoom","damage_taken_rate",1,0.304612091669003,0.304612091669003,0.385486427959149,0.535513060994195,0.00226243699531378
"camera_shake:camera_zoom:camera_recoil","damage_taken_rate",1,0.582780166822009,0.582780166822009,0.737507968126776,0.39166960489329,0.00431954277008924
"camera_zoom","damage_taken_rate",1,0.242244353044349,0.242244353044349,0.306560090365065,0.580526260719501,0.00180004863114142
"camera_zoom:camera_recoil","damage_taken_rate",1,0.369414562087657,0.369414562087657,0.467493917247393,0.495073248007639,0.00274242265492761
"Residuals","damage_taken_rate",170,134.334315887298,0.790201858160576,,,
"camera_recoil","hits_rate",1,0.0333025820935148,0.0333025820935148,1.02362399389361,0.313098763516468,0.00598527834920722
"camera_shake","hits_rate",1,0.0886727281332921,0.0886727281332921,2.7255403760094,0.100600862006924,0.0157796025421378
"camera_shake:camera_recoil","hits_rate",1,0.00321405140430856,0.00321405140430856,0.098790542001197,0.753671280353847,0.000580783330007296
"camera_shake:camera_zoom","hits_rate",1,0.0697851164706541,0.0697851164706541,2.14499042252739,0.144882769587411,0.0124603708609966
"camera_shake:camera_zoom:camera_recoil","hits_rate",1,0.0341632744690651,0.0341632744690651,1.05007916077828,0.306944788379697,0.00613901592989772
